Waterford
Wexford
Kilkenny
Cork
Kerry
Tipperary
Limerick
Clarke
Laois
Carlow
Wicklow
Kildare
Offaly
Galway
Dublin
Louth
Monaghan
Meath
Cavan
WestMeath
Longford
Leitrim
Roscommon
Mayo
Sligo
Donegal
